treat,heat,id,time,t_water,t_air,posture,urine,mass_initial,mass_final,svl,population,feed,Snout,Eye,Head,Dorsum,Leg,Foot,Tail,jump,heat2
Heliothermy,Heating,AY19,260,19.1,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,8,5.1,5.9,13.3,7.6,6.7,8.3,,1
Heliothermy,Heating,TV2,280,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,6.4,5.9,6.1,11,11.3,6.9,8.3,,1
Thigmothermy,Heating,PT14,360,35,19.1,0,1,7.9894,7.9154,70.07,Portimao,2,5.9,5.3,6.7,6.8,7.5,7.9,8.3,,1
Thigmothermy,Cooling,AY21,280,19.3,19.1,0.5,0,7.5546,7.5448,64.65,Ayamonte,1,-4.9,-4.6,-5.7,-5.5,-9.1,-9.9,-6.3,,2
Thigmothermy,Cooling,PT1,300,18.4,18.6,0.5,1,10.9363,10.8508,77.16,Portimao,2,-7.7,-6,-5.7,-5.5,-5.6,-7.8,-7.3,,2
Thigmothermy,Cooling,TV10,320,19.4,19.3,0,0,6.4739,6.4549,68.33,Torres Vedras,1,-5.4,-6.1,-6.4,-5.7,-6.6,-5.6,-8.3,,2
Thigmothermy,Cooling,AY21,300,19.3,19.1,0.5,0,7.5546,7.5448,64.65,Ayamonte,1,-5.1,-4.8,-6,-5.8,-9.4,-9.8,-6.6,,2
Thigmothermy,Heating,AY19,460,34.9,19.2,0.5,0,10.8708,10.8531,77.85,Ayamonte,2,6.3,6.8,7.8,8.4,9.8,12,8.3,1,1
Thigmothermy,Cooling,AY18,300,18.3,18.2,0,0,7.667,7.6553,64.5,Ayamonte,2,-3.6,-3.9,-4.6,-5.8,,,-5.5,,2
Heliothermy,Heating,EV1,200,18.9,18.9,0.5,0,6.6861,6.6577,55.21,Evora,1,4,6.7,8,8.1,7.3,,8.3,,1
Heliothermy,Heating,PTB,200,18.8,18.6,0.5,1,11.3208,11.2212,78.17,Portimao,1,7.8,10.5,8.7,9,9.8,,8.3,,1
Heliothermy,Heating,PT14,200,19.2,19,0,0,7.78,7.763,70.07,Portimao,3,6.9,8.6,10.2,12.1,3.8,1.7,8.4,,1
Heliothermy,Heating,TV13,280,18.8,19.1,0,0,6.3713,6.366,72.67,Torres Vedras,1,,7.6,11.4,12,9.6,6.2,8.4,,1
Thigmothermy,Cooling,PTA,300,19,19,0,0,7.4231,7.4134,68.14,Portimao,2,-4.8,-5.4,-6.2,-5.9,-7.4,-11.7,,,2
Thigmothermy,Heating,PT18,440,35.3,18.9,0,1,12.0487,12.0238,77.51,Portimao,1,6.6,5.6,6.9,7.4,8.9,11,8.4,,1
Thigmothermy,Heating,EV8,400,35.2,19.2,0,1,9.5652,9.2853,76.37,Evora,1,3.8,4.9,6.8,7.2,9.5,11.5,8.4,,1
Thigmothermy,Heating,EV12,540,34.9,19,1,1,9.6202,9.6072,64.66,Evora,2,5.1,5.2,5.6,6.3,6.1,11.9,8.4,,1
Heliothermy,Heating,AY6,120,18.9,18.8,0,0,7.0416,7.0309,58.2,Ayamonte,3,3.8,5.4,5.9,7.2,9.2,3.8,8.5,,1
Heliothermy,Heating,PTA,160,18.6,18.7,0,0,7.6055,7.5934,68.14,Portimao,1,5.9,9.8,8.5,10,10,4,8.5,,1
Heliothermy,Heating,TV16,160,18.9,18.6,0,0,6.6971,6.6916,64.02,Torres Vedras,1,4.7,6.6,7.3,7.5,7.3,4.1,8.5,,1
Heliothermy,Heating,PT1,320,18.3,18.4,0.5,0,11.5596,11.5235,77.16,Portimao,1,6.6,9.6,11.4,10.8,9.5,4.7,8.5,,1
Heliothermy,Heating,TV10,120,18.6,19,0,0,6.3937,6.3826,68.33,Torres Vedras,3,3.3,3.8,6,7.3,6.9,5.6,8.5,,1
Heliothermy,Heating,TV13,300,18.8,19.1,0,0,6.3713,6.366,72.67,Torres Vedras,1,9.4,8.4,11.8,12.2,9.8,6.2,8.5,,1
Heliothermy,Heating,TV2,300,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,6.6,5.9,6.3,11.1,11.8,7,8.5,,1
Thigmothermy,Cooling,PT14,260,19.2,19.2,1,1,7.9894,7.9154,70.07,Portimao,2,-3.5,-3.7,-4.4,-5.9,-5.7,-3.3,-6,,2
Thigmothermy,Cooling,PT1,320,18.4,18.6,0.5,1,10.9363,10.8508,77.16,Portimao,2,,-5.8,-5.8,-5.9,-6.1,-7.9,-7.5,,2
Thigmothermy,Heating,TV10,200,35.4,19.4,0,0,6.4739,6.4549,68.33,Torres Vedras,1,8.4,6,6.9,6.3,9.6,10.4,8.5,,1
Thigmothermy,Cooling,TV14,260,18.5,19.2,0,0,8.1587,8.1162,68.75,Torres Vedras,2,-6.2,-5.7,-5.9,-6,-5.7,-10.4,-5.3,,2
Thigmothermy,Heating,PTB,400,35.4,19.5,0,0,11.7068,11.6489,78.17,Portimao,1,8.6,7,7.8,8.9,8.2,11.3,8.5,,1
Thigmothermy,Heating,PTB,420,35.4,19.4,0,0,11.7068,11.6489,78.17,Portimao,1,8.4,7.8,8.3,8.9,8.1,11.6,8.5,,1
Thigmothermy,Heating,EV12,560,34.9,19,1,1,9.6202,9.6072,64.66,Evora,2,5.1,5.3,5.8,6.5,6.3,11.9,8.5,,1
Thigmothermy,Heating,EV17,340,35.1,18.2,0,0,10.4821,10.4698,73.58,Evora,2,9.2,8.1,8.7,8.8,10.1,11.9,8.5,,1
Thigmothermy,Cooling,AY21,320,19.3,19.1,0.5,0,7.5546,7.5448,64.65,Ayamonte,1,-5.2,-5,-6.3,-6.1,-9.4,-9.8,-6.9,,2
Heliothermy,Heating,AY21,180,19.3,18.9,0,1,7.657,7.6124,64.65,Ayamonte,3,4.8,6.2,6.2,10.7,8.4,3.8,8.6,,1
Heliothermy,Heating,EV12,220,18.6,18.3,0.5,1,9.6967,9.6624,64.66,Evora,1,10.3,10.6,11.2,10.3,7.4,4.1,8.6,,1
Heliothermy,Heating,PT1,340,18.3,18.4,0.5,0,11.5596,11.5235,77.16,Portimao,1,6.4,10.1,11.5,11,10.1,4.6,8.6,,1
